node_id,node_name,latitude,longitude,reeds_ba,voltage,load_participation_factor,bus_type,area,geometry,ReEDS_Region_UPDATE,nercr,transreg,subFERC,cendiv,st,interconnect,country,usda,aggreg,last_digits_node_id,id,FromBus,ToBus,Vn [kV],Length[km],Remarks,CKT,R [pu],X [pu],B [pu],Rate1[MVA],Rate2[MVA],Add [Y/N],Type,GeomCode,Conductor,Area,ReEDS_Region,Longitude,Latitude,last_digits_ToBus
10232006,INDRIV 4_232006,38.59,-75.23,p125,230.0,0.0,PQ,235_EI,"POINT(38.59,-75.23)",p125,PJM,PJM,PJM_East,SA,DE,eastern,USA,northeast,DE,232006,694,700043,232006,500230,0.0,New 500/230 kV 2W Transformer,1.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,232006
10232006,INDRIV 4_232006,38.59,-75.23,p125,230.0,0.0,PQ,235_EI,"POINT(38.59,-75.23)",p125,PJM,PJM,PJM_East,SA,DE,eastern,USA,northeast,DE,232006,695,700043,232006,500230,0.0,New 500/230 kV 2W Transformer,2.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,232006
10300045,7MORGAN_300045,37.49,-93.62,p55,345.0,0.0,PQ,330_EI,"POINT(37.49,-93.62)",p55,SPP,SPP,SPP_South,WNC,MO,eastern,USA,corn-belt,MO_SPP,300045,316,700019,300045,500345,0.0,New 500/345kV 2W Transformer,1.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,300045
10300045,7MORGAN_300045,37.49,-93.62,p55,345.0,0.0,PQ,330_EI,"POINT(37.49,-93.62)",p55,SPP,SPP,SPP_South,WNC,MO,eastern,USA,corn-belt,MO_SPP,300045,317,700019,300045,500345,0.0,New 500/345kV 2W Transformer,2.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,300045
10232005,VIENNA_232005,38.49,-75.82,p123,230.0,0.0,PQ,235_EI,"POINT(38.49,-75.82)",p123,PJM,PJM,PJM_East,SA,MD,eastern,USA,northeast,MD,232005,702,700045,232005,500230,0.0,New 500/230 kV 2W Transformer,1.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,232005
10232005,VIENNA_232005,38.49,-75.82,p123,230.0,0.0,PQ,235_EI,"POINT(38.49,-75.82)",p123,PJM,PJM,PJM_East,SA,MD,eastern,USA,northeast,MD,232005,703,700045,232005,500230,0.0,New 500/230 kV 2W Transformer,2.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,232005
10531469,SPERVIL7_531469,37.86,-99.76,p53,345.0,0.0,PQ,534_EI,"POINT(37.86,-99.76)",p53,SPP,SPP,SPP_South,WNC,KS,eastern,USA,northern-plains,KS,531469,651,700039,531469,500345,0.0,New 500/345kV 2W Transformer,1.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,531469
10531469,SPERVIL7_531469,37.86,-99.76,p53,345.0,0.0,PQ,534_EI,"POINT(37.86,-99.76)",p53,SPP,SPP,SPP_South,WNC,KS,eastern,USA,northern-plains,KS,531469,652,700039,531469,500345,0.0,New 500/345kV 2W Transformer,2.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,531469
10511456,O.K.U.-7_511456,34.13,-99.15,p60,345.0,0.0,PQ,520_EI,"POINT(34.13,-99.15)",p60,ERCOT,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,511456,280,700012,511456,500345,0.0,New 500/345kV 2W Transformer,1.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,511456
10511456,O.K.U.-7_511456,34.13,-99.15,p60,345.0,0.0,PQ,520_EI,"POINT(34.13,-99.15)",p60,ERCOT,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,511456,281,700012,511456,500345,0.0,New 500/345kV 2W Transformer,2.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,511456
10525832,TUCO_INT   7_525832,33.87,-101.84,p48,345.0,0.0,PQ,526_EI,"POINT(33.87,-101.84)",p48,SPP,SPP,SPP_South,WSC,TX,eastern,USA,southern-plains,TX_SPP_N,525832,284,700013,525832,500345,0.0,New 500/345kV 2W Transformer,1.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,525832
10525832,TUCO_INT   7_525832,33.87,-101.84,p48,345.0,0.0,PQ,526_EI,"POINT(33.87,-101.84)",p48,SPP,SPP,SPP_South,WSC,TX,eastern,USA,southern-plains,TX_SPP_N,525832,285,700013,525832,500345,0.0,New 500/345kV 2W Transformer,2.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,525832
10523853,FINNEY     7_523853,37.92,-100.98,p52,345.0,0.0,PQ,526_EI,"POINT(37.92,-100.98)",p52,SPP,SPP,SPP_South,WNC,KS,eastern,USA,northern-plains,KS,523853,324,700021,523853,500345,0.0,New 500/345kV 2W Transformer,1.0,0.0,0.12,0,2000.0,2000.0,Y,2TF,,,,,,,523853
